id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
26518;Vigna sinensis (L.) Savi ex Hassk.;Vigna;sinensis;(L. ) Savi ex Hassk.;;;;;;
26519;Vignea divulsa (Stokes) Rchb.;Vignea;divulsa;(Stokes) Rchb.;;;;;;
26520;Vignea muskingumensis (Schwein.) Soják;Vignea;muskingumensis;(Schwein. ) Sojak;;;;;;
26521;Vilfa clandestina (Biehler) Nees ex Steud.;Vilfa;clandestina;(Biehler) Nees ex Steud.;;;;;;
26522;Vilfa clandestina auct., non (Biehler) Nees ex Steud.;Vilfa;clandestina;auct. , non (Biehler) Nees ex Steud.;;;;;;
26523;Vilfa cryptandra (Torr.) Trin.;Vilfa;cryptandra;(Torr. ) Trin.;;;;;;
26524;Vilfa domingensis auct. Fl. Ital., non Trin.;Vilfa;domingensis;auct. Fl. Ital. , non Trin.;;;;;;
26525;Vilfa domingensis Trin.;Vilfa;domingensis;Trin.;;;;;;
26526;Vilfa indica (L.) Trin. ex Steud.;Vilfa;indica;(L. ) Trin. ex Steud.;;;;;;
26527;Vilfa mexicana (L.) P.Beauv.;Vilfa;mexicana;(L. ) P. Beauv.;;;;;;
26528;Vilfa setacea (Poir.) P.Beauv.;Vilfa;setacea;(Poir. ) P. Beauv.;;;;;;
26529;Vilfa tenacissima (L.f.) Kunth;Vilfa;tenacissima;(L. f. ) Kunth;;;;;;
26530;Vilfa vaginiflora Torr. ex A.Gray;Vilfa;vaginiflora;Torr. ex A. Gray;;;;;;
26531;Vinca rosea L.;Vinca;rosea;L.;;;;;;
26532;Vinca sardoa (Stearn) Pignatti;Vinca;sardoa;(Stearn) Pignatti;;;;;;
26533;Vincetoxicum hirundinaria Medik. subsp. adriaticum (Beck) Markgr.;Vincetoxicum;hirundinaria;Medik.;subsp;adriaticum;(Beck) Markgr.;;;
26534;Viola adriatica Freyn;Viola;adriatica;Freyn;;;;;;
26535;Viola aethnensis (Ging. & DC.) Strobl subsp. calabra (A.Terrac.) Peruzzi, nom. illeg.;Viola;aethnensis;(Ging. & DC. ) Strobl;subsp;calabra;(A. Terrac. ) Peruzzi, nom. illeg.;;;
26536;Viola alba Besser subsp. scotophylla (Jord.) Nyman;Viola;alba;Besser;subsp;scotophylla;(Jord. ) Nyman;;;
26537;Viola alburnica Ricceri & Moraldo;Viola;alburnica;Ricceri & Moraldo;;;;;;
26538;Viola amiatina Ricceri & Moraldo;Viola;amiatina;Ricceri & Moraldo;;;;;;
26539;Viola arvensis Murray subsp. megalantha Nauenb.;Viola;arvensis;Murray;subsp;megalantha;Nauenb.;;;
26540;Viola bertolonii Pio subsp. messanensis (W.Becker) A.F.W.Schmidt;Viola;bertolonii;Pio;subsp;messanensis;(W. Becker) A. F. W. Schmidt;;;
26541;Viola calabra (A.Terracc.) Ricceri & Moraldo, comb. inval.;Viola;calabra;(A. Terracc. ) Ricceri & Moraldo, comb. inval.;;;;;;
26542;Viola calcarata L. subsp. aethnensis (Ging. & DC.) Nyman;Viola;calcarata;L.;subsp;aethnensis;(Ging. & DC. ) Nyman;;;
26543;Viola calcarata L. var. aethnensis Ging. & DC.;Viola;calcarata;L.;var;aethnensis;Ging. & DC.;;;
26544;Viola calcarata L. var. levieri (Parl.) Fiori;Viola;calcarata;L.;var;levieri;(Parl. ) Fiori;;;
26545;Viola calcarata L. var. pseudogracilis A.Terracc.;Viola;calcarata;L.;var;pseudogracilis;A. Terracc.;;;
